username,total_likes,post_count,avg_likes,total_comments,avg_comments,score
sarangadisasekara,6914753,30,230491.77,3508,116.93,345737.65
roshelrogers,4174659,30,139155.3,3055,101.83,208732.95
yohanimusic,1341615,30,44720.5,11784,392.8,67080.75
umariaofficial,1339827,30,44660.9,108691,3623.03,66991.35
madhavawijesinghe,1236402,30,41213.4,3271,109.03,61820.1
rithuakarsha,895571,30,29852.37,3184,106.13,44778.55
mashi_siriwardene,819370,30,27312.33,3049,101.63,40968.5
shanudrie,560580,29,19330.34,2248,77.52,28029.0
praveenaonline,221598,30,7386.6,1582,52.73,11079.9
vinu_speaks,196499,30,6549.97,3404,113.47,9824.95
anarkalli,185575,30,6185.83,3332,111.07,9278.75
kanchanaanuradhi,174624,30,5820.8,3315,110.5,8731.2
sachinathilakarathne,169142,29,5832.48,2485,85.69,8457.1
lochana_jaya,165399,30,5513.3,2980,99.33,8269.95
anuradha_edirisinghe,164928,30,5497.6,3101,103.37,8246.4
dasun_shanaka,164182,31,5296.19,3169,102.23,8209.1
wildcookbook,161524,30,5384.13,4105,136.83,8076.2
chanuxbro,150263,30,5008.77,3177,105.9,7513.15
gayathri_dias,146911,30,4897.03,3307,110.23,7345.55
luna_peech,15863,30,528.77,1061,35.37,793.15
